frame_idx,panel_id,n_px,mean,std,min,max,p10,p90,hot_ratio,delta_frame,frame_mean
0,0,11183,40.9,18.96,23,112,31.0,71.0,0.0914,-7.36,48.26
0,1,18360,38.24,11.0,23,120,32.0,42.0,0.039,-10.02,48.26
0,2,18920,40.63,13.05,24,110,35.0,45.0,0.0608,-7.63,48.26
0,3,16945,41.0,9.79,26,110,37.0,43.0,0.0385,-7.26,48.26
0,4,13240,43.34,8.43,32,104,39.0,45.0,0.042,-4.92,48.26
0,5,9704,46.78,9.9,33,111,42.0,49.0,0.0613,-1.47,48.26
0,6,12390,43.83,7.13,32,101,40.0,46.0,0.0365,-4.43,48.26
0,7,5643,44.4,13.86,28,113,37.0,60.0,0.0806,-3.86,48.26
0,8,15202,41.85,11.56,26,114,36.0,45.0,0.0499,-6.41,48.26
0,9,18698,39.9,9.65,26,111,35.0,44.0,0.0373,-8.36,48.26
0,10,13750,45.41,8.54,32,103,41.0,47.0,0.0444,-2.85,48.26
0,11,12563,47.33,8.59,35,115,44.0,49.0,0.0452,-0.93,48.26
0,12,8473,47.45,5.73,37,97,45.0,50.0,0.0419,-0.81,48.26
0,13,6694,49.01,6.63,40,96,46.0,51.0,0.055,0.75,48.26
0,14,9550,49.2,7.83,37,102,45.0,52.0,0.0596,0.94,48.26
0,15,7111,50.73,8.18,40,103,46.0,57.0,0.0547,2.47,48.26
0,16,6346,51.05,6.08,40,94,47.0,53.0,0.0518,2.79,48.26
0,17,5683,53.89,8.21,42,95,50.0,63.8,0.0707,5.63,48.26
0,18,5212,54.82,15.88,3,75,37.0,71.0,0.0,6.56,48.26
0,19,3987,55.6,5.3,44,88,53.0,60.0,0.0472,7.34,48.26
0,20,4273,53.52,4.65,42,89,51.0,57.0,0.0496,5.26,48.26
0,21,4629,52.18,3.91,44,87,50.0,53.0,0.0369,3.92,48.26
0,22,5278,51.98,3.0,42,74,50.0,53.0,0.0424,3.72,48.26
0,23,6045,51.74,5.58,38,94,49.0,54.0,0.0561,3.48,48.26
0,24,1725,55.44,6.9,47,101,52.0,60.0,0.0429,7.18,48.26
0,25,4421,54.9,4.46,45,92,52.0,59.0,0.0563,6.64,48.26
0,26,3784,55.49,3.77,45,88,53.0,58.0,0.0436,7.23,48.26
0,27,3213,55.87,2.58,49,74,54.0,58.0,0.0373,7.61,48.26
0,28,3307,58.21,7.07,50,91,54.0,64.0,0.0756,9.95,48.26
0,29,2597,59.87,5.56,53,89,57.0,63.0,0.0658,11.61,48.26
0,30,2601,58.74,2.6,52,80,57.0,60.0,0.0358,10.48,48.26
0,31,2817,58.2,2.54,47,82,56.0,60.0,0.0202,9.94,48.26
0,32,2456,58.03,3.29,51,87,57.0,59.0,0.0383,9.77,48.26
0,33,2141,59.75,2.79,51,80,58.0,61.0,0.0355,11.49,48.26
0,34,2669,62.01,5.01,52,91,59.0,67.0,0.0761,13.76,48.26
0,35,2333,61.32,3.55,56,82,59.0,65.0,0.0596,13.07,48.26
0,36,2064,56.62,9.87,37,86,42.0,65.0,0.0305,8.36,48.26
0,37,2108,56.0,10.65,37,83,39.0,65.0,0.0218,7.74,48.26
0,38,350,63.94,5.04,57,78,60.0,73.1,0.0743,15.68,48.26
0,39,1977,56.42,10.81,31,81,39.0,66.0,0.003,8.16,48.26
0,40,2056,63.95,3.99,41,86,61.0,67.0,0.0506,15.69,48.26
0,41,2251,60.8,2.56,55,79,59.0,64.0,0.0529,12.54,48.26
0,42,2707,59.47,3.3,52,80,57.0,64.0,0.058,11.21,48.26
0,43,3252,57.83,4.16,50,80,54.0,64.0,0.0692,9.57,48.26
0,44,2747,58.63,3.5,52,90,57.0,61.0,0.0462,10.37,48.26
0,45,2301,59.56,2.47,54,78,58.0,61.0,0.0456,11.3,48.26
0,46,2040,61.77,4.4,53,86,59.0,64.0,0.0569,13.51,48.26
0,47,1800,64.55,4.38,56,84,61.0,71.0,0.0728,16.29,48.26
0,48,1821,58.03,11.23,36,83,40.0,72.0,0.0044,9.77,48.26
0,49,1655,58.69,11.04,33,85,42.0,72.0,0.0054,10.43,48.26
0,50,1662,66.19,4.34,57,84,63.0,73.0,0.089,17.93,48.26
0,51,1767,63.3,3.99,54,84,60.0,65.0,0.0538,15.04,48.26
0,52,2368,63.14,6.04,54,87,59.0,73.0,0.0807,14.88,48.26
0,53,2739,61.67,5.88,45,90,59.0,67.0,0.0672,13.41,48.26
0,54,4198,60.19,15.47,7,74,36.0,71.0,0.0,11.93,48.26
0,55,3315,57.63,17.46,6,74,22.0,71.0,0.0,9.37,48.26
0,56,3054,56.28,18.53,6,75,18.0,71.0,0.0,8.02,48.26
0,57,2576,56.84,17.19,2,75,19.0,68.0,0.0,8.58,48.26
0,58,3381,59.61,6.96,49,91,56.0,66.0,0.0713,11.35,48.26
0,59,4347,57.4,7.87,45,95,53.0,67.0,0.0679,9.14,48.26
0,60,4756,54.82,8.89,40,95,51.0,65.0,0.0753,6.56,48.26
0,61,5443,52.81,5.19,43,79,50.0,59.0,0.0726,4.55,48.26
0,62,3642,52.03,9.63,40,105,47.0,66.0,0.0681,3.77,48.26
0,63,3034,53.87,9.87,43,96,50.0,66.7,0.0814,5.62,48.26
0,64,2753,54.77,9.19,44,96,51.0,63.0,0.0723,6.51,48.26
0,65,2135,57.42,7.6,43,95,54.0,60.0,0.0674,9.16,48.26
0,66,2485,56.64,8.67,46,95,52.0,67.0,0.0712,8.38,48.26
0,67,3127,53.14,9.38,41,94,49.0,66.0,0.0822,4.88,48.26
0,68,3320,51.46,10.33,38,97,46.0,64.0,0.0786,3.2,48.26
0,69,3993,48.98,7.59,22,87,45.0,61.0,0.0744,0.72,48.26
0,70,5036,48.56,9.4,37,104,44.0,60.0,0.0665,0.3,48.26
0,71,4428,51.0,10.79,38,103,46.0,63.0,0.0811,2.74,48.26
0,72,3799,52.45,9.87,42,101,47.0,61.0,0.075,4.19,48.26
0,73,3320,55.2,9.75,44,99,51.0,69.1,0.084,6.94,48.26
0,74,1576,55.61,10.94,44,93,50.0,77.0,0.0971,7.35,48.26
0,75,3916,51.6,10.3,42,94,47.0,68.0,0.0889,3.34,48.26
0,76,5087,50.71,11.21,37,100,45.0,71.0,0.091,2.45,48.26
0,77,5693,47.98,9.11,36,102,43.0,62.0,0.0675,-0.28,48.26
0,78,1672,56.48,5.05,10,79,54.0,61.0,0.0419,8.22,48.26
0,79,245,65.27,10.74,53,92,56.0,82.0,0.0367,17.01,48.26
0,80,4127,57.53,4.47,43,85,54.0,64.0,0.056,9.27,48.26
0,81,3487,59.96,6.63,51,89,57.0,70.0,0.0751,11.7,48.26
0,82,2771,61.66,5.68,51,86,58.0,70.0,0.0718,13.4,48.26
0,83,1477,63.37,4.72,53,84,60.0,71.0,0.0873,15.11,48.26
0,84,634,63.02,3.87,57,78,60.0,70.0,0.0852,14.76,48.26
0,85,107,62.79,3.29,57,74,60.0,68.0,0.0561,14.54,48.26
0,86,3530,57.44,9.31,7,90,56.0,64.0,0.0161,9.18,48.26
0,87,3045,60.96,6.07,51,87,57.0,70.6,0.0755,12.7,48.26
0,88,2712,63.24,5.56,54,89,59.0,72.0,0.076,14.98,48.26
0,89,2667,60.37,4.93,31,90,57.0,65.0,0.0334,12.11,48.26
0,90,2525,62.7,5.48,52,90,59.0,71.0,0.0812,14.44,48.26
0,91,2261,64.61,4.99,57,85,60.0,72.0,0.0752,16.35,48.26
0,92,2425,59.51,10.09,6,85,58.0,66.0,0.012,11.26,48.26
0,93,2075,62.81,4.84,56,83,60.0,72.0,0.0901,14.55,48.26
0,94,1677,61.42,4.77,51,79,58.0,70.0,0.0918,13.16,48.26
0,95,905,45.26,11.47,31,75,36.0,65.0,0.0453,-3.0,48.26
0,96,2190,59.87,11.49,6,85,58.0,66.0,0.0023,11.61,48.26
0,97,1821,65.14,4.61,58,86,61.0,73.0,0.0708,16.88,48.26
0,98,1749,63.8,5.8,52,85,59.0,74.0,0.064,15.54,48.26
0,99,1580,46.37,11.42,32,80,37.0,65.0,0.0519,-1.89,48.26
0,100,2462,58.86,9.59,4,74,54.0,65.0,0.0,10.6,48.26
0,101,2197,63.3,5.01,43,86,60.0,70.0,0.0669,15.04,48.26
0,102,1845,64.08,5.16,43,82,61.0,73.0,0.0797,15.82,48.26
0,103,1672,64.45,4.9,40,81,61.0,72.0,0.0604,16.19,48.26
0,104,1567,62.54,5.41,17,78,60.0,66.0,0.0038,14.29,48.26
0,105,1537,62.97,7.93,9,80,60.0,71.0,0.0026,14.71,48.26
0,106,1630,63.45,6.08,12,80,60.0,71.0,0.0061,15.19,48.26
0,107,1439,46.21,10.19,19,73,38.0,63.0,0.0493,-2.05,48.26
0,108,2151,61.26,8.98,7,83,59.0,66.0,0.0042,13.0,48.26
0,109,1860,64.75,4.86,56,85,61.0,73.0,0.072,16.49,48.26
0,110,1762,64.95,4.24,58,81,61.0,71.0,0.0778,16.69,48.26
0,111,1518,65.49,3.86,59,80,63.0,72.0,0.0698,17.23,48.26
0,112,1385,64.5,2.43,58,78,63.0,67.0,0.0469,16.24,48.26
0,113,1563,65.84,3.74,58,79,63.0,72.0,0.0589,17.58,48.26
0,114,1473,65.39,4.14,58,79,61.0,72.0,0.0767,17.13,48.26
0,115,1489,49.39,11.64,35,79,39.0,67.0,0.0168,1.13,48.26
0,116,2013,61.33,11.35,7,79,59.0,66.0,0.0,13.07,48.26
0,117,1886,65.15,4.25,58,82,61.0,73.0,0.0801,16.89,48.26
0,118,1706,65.88,3.54,59,81,63.0,72.0,0.0891,17.62,48.26
0,119,1382,66.73,3.66,60,80,64.0,73.0,0.0601,18.48,48.26
0,120,1309,66.01,2.0,63,77,64.0,68.0,0.0428,17.75,48.26
0,121,1347,67.47,3.15,60,79,65.0,73.0,0.078,19.21,48.26
0,122,1311,67.68,2.83,60,77,65.0,73.0,0.0618,19.42,48.26
0,123,1216,49.34,11.79,35,76,38.0,67.0,0.0082,1.08,48.26
0,124,1621,64.86,6.23,17,80,63.0,68.0,0.0074,16.6,48.26
0,125,1572,67.24,3.65,60,80,64.0,73.0,0.07,18.98,48.26
0,126,1461,67.55,3.24,60,80,65.0,73.0,0.0507,19.29,48.26
0,127,1302,67.62,2.9,60,78,65.0,73.0,0.0584,19.36,48.26
0,128,1251,67.22,2.32,64,78,65.0,71.0,0.0671,18.96,48.26
0,129,1130,67.64,2.7,60,79,65.0,72.0,0.0239,19.38,48.26
0,130,1112,64.74,7.59,45,79,52.0,73.0,0.0,16.48,48.26
0,131,985,51.14,11.07,36,78,39.0,67.0,0.0061,2.88,48.26
0,132,1583,57.22,10.71,22,79,42.0,67.0,0.0006,8.96,48.26
0,133,1399,59.6,11.32,37,82,42.0,72.0,0.0,11.34,48.26
0,134,1308,59.24,10.94,36,77,42.0,71.0,0.0,10.99,48.26
0,135,1163,59.38,10.66,37,75,43.0,71.0,0.0,11.12,48.26
0,136,1094,59.73,10.41,38,75,44.0,71.0,0.0,11.47,48.26
0,137,1026,59.92,10.54,38,78,43.0,70.0,0.0,11.66,48.26
0,138,940,61.09,10.02,39,75,44.0,71.0,0.0,12.83,48.26
0,139,866,46.05,8.95,33,71,38.0,60.5,0.0647,-2.21,48.26
0,140,8769,41.31,15.45,26,107,33.0,64.0,0.0817,-6.95,48.26
0,141,11653,41.29,11.32,21,104,36.0,46.0,0.0591,-6.97,48.26
0,142,338,58.33,20.34,33,101,39.0,90.0,0.0118,10.08,48.26
1,0,11183,41.06,18.9,24,111,31.0,71.0,0.0915,-7.26,48.32
1,1,18360,38.38,11.12,23,120,32.0,42.0,0.0403,-9.94,48.32
1,2,18920,40.74,13.14,24,111,35.0,45.0,0.0594,-7.58,48.32
1,3,16945,41.06,9.84,26,110,37.0,44.0,0.0385,-7.26,48.32
1,4,13240,43.35,8.41,32,104,39.0,45.0,0.0418,-4.97,48.32
1,5,9704,46.91,9.92,33,111,43.0,49.0,0.0615,-1.41,48.32
1,6,12390,43.78,7.0,32,101,40.0,46.0,0.0373,-4.54,48.32
1,7,5643,44.57,13.99,28,110,38.0,63.0,0.082,-3.75,48.32
1,8,15202,41.92,11.52,28,114,36.0,45.0,0.0494,-6.4,48.32
1,9,18698,39.97,9.49,26,111,35.0,44.0,0.0375,-8.35,48.32
1,10,13750,45.48,8.52,32,104,41.0,47.0,0.0449,-2.84,48.32
1,11,12563,47.4,8.61,35,115,44.0,50.0,0.0458,-0.92,48.32
1,12,8473,47.52,5.76,37,97,45.0,50.0,0.0399,-0.8,48.32
1,13,6694,49.07,6.67,40,96,46.0,52.0,0.0547,0.75,48.32
1,14,9550,49.25,7.86,37,101,45.0,53.0,0.0599,0.93,48.32
1,15,7111,50.89,8.23,40,103,47.0,57.0,0.0555,2.57,48.32
1,16,6346,51.05,6.06,40,94,47.0,53.0,0.0518,2.73,48.32
1,17,5683,53.98,8.24,42,94,50.0,64.0,0.0716,5.66,48.32
1,18,5212,54.88,15.86,5,75,37.0,71.0,0.0,6.56,48.32
1,19,3987,55.74,5.35,45,87,53.0,61.0,0.0482,7.42,48.32
1,20,4273,53.59,4.65,43,89,51.0,57.0,0.0501,5.28,48.32
1,21,4629,52.22,3.9,44,87,50.0,53.0,0.0365,3.9,48.32
1,22,5278,51.95,3.03,42,74,50.0,53.0,0.0387,3.63,48.32
1,23,6045,51.77,5.57,38,94,49.0,54.0,0.0557,3.45,48.32
1,24,1725,55.42,6.83,47,101,52.0,60.0,0.0417,7.1,48.32
