sample_id,video,panel_id,label,cluster_id,split
video1_p000,video1,0,normal,-1,train
video1_p001,video1,1,normal,-1,test
video1_p002,video1,2,normal,-1,val
video1_p003,video1,3,tekil_panel,6,train
video1_p004,video1,4,normal,-1,train
video1_p005,video1,5,normal,-1,val
video1_p006,video1,6,tekil_panel,7,val
video1_p007,video1,7,normal,-1,val
video1_p008,video1,8,hat_arizasi,0,val
video1_p009,video1,9,hat_arizasi,0,val
video1_p010,video1,10,normal,-1,val
video1_p011,video1,11,hat_arizasi,0,val
video1_p012,video1,12,normal,-1,train
video1_p013,video1,13,normal,-1,val
video1_p014,video1,14,tekil_panel,8,val
video1_p015,video1,15,normal,-1,val
video1_p016,video1,16,hat_arizasi,0,val
video1_p017,video1,17,normal,-1,train
video1_p018,video1,18,normal,-1,test
video1_p019,video1,19,tekil_panel,9,train
video1_p020,video1,20,normal,-1,train
video1_p021,video1,21,normal,-1,val
video1_p022,video1,22,normal,-1,train
video1_p023,video1,23,normal,-1,test
video1_p024,video1,24,normal,-1,train
video1_p025,video1,25,normal,-1,test
video1_p026,video1,26,normal,-1,train
video1_p027,video1,27,tekil_panel,10,val
video1_p028,video1,28,normal,-1,train
video1_p029,video1,29,normal,-1,test
video1_p030,video1,30,tekil_panel,11,train
video1_p031,video1,31,hat_arizasi,2,test
video1_p032,video1,32,normal,-1,val
video1_p033,video1,33,tekil_panel,12,val
video1_p034,video1,34,hat_arizasi,2,test
video1_p035,video1,35,normal,-1,train
video1_p036,video1,36,normal,-1,val
video1_p037,video1,37,normal,-1,val
video1_p038,video1,38,normal,-1,val
video1_p039,video1,39,normal,-1,train
video1_p040,video1,40,normal,-1,train
video1_p041,video1,41,normal,-1,train
video1_p042,video1,42,normal,-1,train
video1_p043,video1,43,hat_arizasi,3,train
video1_p044,video1,44,normal,-1,train
video1_p045,video1,45,normal,-1,train
video1_p046,video1,46,normal,-1,train
video1_p047,video1,47,tekil_panel,13,test
video1_p048,video1,48,normal,-1,train
video1_p049,video1,49,normal,-1,train
video1_p050,video1,50,normal,-1,train
video1_p051,video1,51,normal,-1,train
video1_p052,video1,52,hat_arizasi,3,train
video1_p053,video1,53,tekil_panel,14,train
video1_p054,video1,54,normal,-1,train
video1_p055,video1,55,normal,-1,train
video1_p056,video1,56,hat_arizasi,4,train
video1_p057,video1,57,normal,-1,train
video1_p058,video1,58,hat_arizasi,1,train
video1_p059,video1,59,hat_arizasi,1,train
video1_p060,video1,60,normal,-1,train
video1_p061,video1,61,normal,-1,val
video1_p062,video1,62,normal,-1,train
video1_p063,video1,63,normal,-1,train
video1_p064,video1,64,normal,-1,train
video1_p065,video1,65,normal,-1,train
video1_p066,video1,66,normal,-1,train
video1_p067,video1,67,tekil_panel,15,train
video1_p068,video1,68,normal,-1,train
video1_p069,video1,69,normal,-1,train
video1_p070,video1,70,normal,-1,train
video1_p071,video1,71,normal,-1,train
video1_p072,video1,72,tekil_panel,16,train
video1_p073,video1,73,normal,-1,test
video1_p074,video1,74,normal,-1,train
video1_p075,video1,75,tekil_panel,17,val
video1_p076,video1,76,normal,-1,train
video1_p077,video1,77,normal,-1,train
video1_p078,video1,78,normal,-1,train
video1_p079,video1,79,normal,-1,train
video1_p080,video1,80,normal,-1,train
video1_p081,video1,81,tekil_panel,18,train
video1_p082,video1,82,normal,-1,train
video1_p083,video1,83,normal,-1,val
video1_p084,video1,84,normal,-1,test
video1_p085,video1,85,normal,-1,test
video1_p086,video1,86,hat_arizasi,5,train
video1_p087,video1,87,hat_arizasi,5,train
video1_p088,video1,88,normal,-1,train
video1_p089,video1,89,hat_arizasi,1,train
video1_p090,video1,90,hat_arizasi,1,train
video1_p091,video1,91,normal,-1,train
video1_p092,video1,92,normal,-1,train
video1_p093,video1,93,normal,-1,train
video1_p094,video1,94,normal,-1,val
video1_p095,video1,95,normal,-1,train
video1_p096,video1,96,normal,-1,val
video1_p097,video1,97,normal,-1,val
video1_p098,video1,98,normal,-1,train
video1_p099,video1,99,normal,-1,test
video1_p100,video1,100,hat_arizasi,4,train
video1_p101,video1,101,normal,-1,train
video1_p102,video1,102,tekil_panel,19,val
video1_p103,video1,103,normal,-1,train
video1_p104,video1,104,normal,-1,train
video1_p105,video1,105,tekil_panel,20,train
video1_p106,video1,106,normal,-1,train
video1_p107,video1,107,normal,-1,train
video1_p108,video1,108,normal,-1,test
video1_p109,video1,109,tekil_panel,21,train
video1_p110,video1,110,normal,-1,train
video1_p111,video1,111,normal,-1,train
video1_p112,video1,112,normal,-1,val
video1_p113,video1,113,normal,-1,train
video1_p114,video1,114,normal,-1,train
video1_p115,video1,115,normal,-1,train
video1_p116,video1,116,normal,-1,train
video1_p117,video1,117,tekil_panel,22,test
video1_p118,video1,118,normal,-1,train
video1_p119,video1,119,normal,-1,val
video1_p120,video1,120,normal,-1,train
video1_p121,video1,121,normal,-1,train
video1_p122,video1,122,normal,-1,test
video1_p123,video1,123,normal,-1,train
video1_p124,video1,124,normal,-1,train
video1_p125,video1,125,normal,-1,train
video1_p126,video1,126,normal,-1,val
video1_p127,video1,127,normal,-1,test
video1_p128,video1,128,normal,-1,test
video1_p129,video1,129,normal,-1,val
video1_p130,video1,130,normal,-1,train
video1_p131,video1,131,normal,-1,test
video1_p132,video1,132,normal,-1,train
video1_p133,video1,133,normal,-1,train
video1_p134,video1,134,normal,-1,train
video1_p135,video1,135,normal,-1,train
video1_p136,video1,136,normal,-1,train
video1_p137,video1,137,normal,-1,train
video1_p138,video1,138,normal,-1,train
video1_p139,video1,139,normal,-1,train
video1_p140,video1,140,normal,-1,val
video1_p141,video1,141,normal,-1,train
video1_p142,video1,142,normal,-1,test
video2_p000,video2,0,normal,-1,train
video2_p001,video2,1,normal,-1,test
video2_p002,video2,2,tekil_panel,9,val
video2_p003,video2,3,normal,-1,train
video2_p004,video2,4,hat_arizasi,1,train
video2_p005,video2,5,hat_arizasi,0,val
video2_p006,video2,6,string_arizasi,0,val
video2_p007,video2,7,string_arizasi,0,val
video2_p008,video2,8,hat_arizasi,0,val
video2_p009,video2,9,hat_arizasi,0,val
video2_p010,video2,10,hat_arizasi,0,val
video2_p011,video2,11,string_arizasi,0,val
video2_p012,video2,12,normal,-1,train
video2_p013,video2,13,string_arizasi,0,val
video2_p014,video2,14,hat_arizasi,0,val
video2_p015,video2,15,hat_arizasi,0,val
video2_p016,video2,16,string_arizasi,0,val
video2_p017,video2,17,string_arizasi,2,train
video2_p018,video2,18,normal,-1,test
video2_p019,video2,19,string_arizasi,2,train
video2_p020,video2,20,normal,-1,train
video2_p021,video2,21,string_arizasi,0,val
video2_p022,video2,22,normal,-1,train
video2_p023,video2,23,normal,-1,test
video2_p024,video2,24,normal,-1,train
video2_p025,video2,25,hat_arizasi,5,test
video2_p026,video2,26,tekil_panel,10,train
video2_p027,video2,27,normal,-1,val
video2_p028,video2,28,tekil_panel,11,train
video2_p029,video2,29,tekil_panel,12,test
video2_p030,video2,30,normal,-1,train
video2_p031,video2,31,hat_arizasi,5,test
video2_p032,video2,32,string_arizasi,3,val
video2_p033,video2,33,string_arizasi,3,val
video2_p034,video2,34,normal,-1,test
video2_p035,video2,35,tekil_panel,13,train
video2_p036,video2,36,normal,-1,val
video2_p037,video2,37,string_arizasi,3,val
video2_p038,video2,38,string_arizasi,3,val
video2_p039,video2,39,normal,-1,train
video2_p040,video2,40,normal,-1,train
video2_p041,video2,41,normal,-1,train
video2_p042,video2,42,string_arizasi,2,train
video2_p043,video2,43,hat_arizasi,6,train
video2_p044,video2,44,normal,-1,train
video2_p045,video2,45,normal,-1,train
video2_p046,video2,46,string_arizasi,2,train
video2_p047,video2,47,normal,-1,test
video2_p048,video2,48,normal,-1,train
video2_p049,video2,49,tekil_panel,14,train
video2_p050,video2,50,normal,-1,train
video2_p051,video2,51,tekil_panel,15,train
video2_p052,video2,52,hat_arizasi,6,train
video2_p053,video2,53,tekil_panel,16,train
video2_p054,video2,54,normal,-1,train
video2_p055,video2,55,normal,-1,train
video2_p056,video2,56,normal,-1,train
video2_p057,video2,57,normal,-1,train
video2_p058,video2,58,normal,-1,train
video2_p059,video2,59,hat_arizasi,1,train
video2_p060,video2,60,normal,-1,train
video2_p061,video2,61,hat_arizasi,0,val
video2_p062,video2,62,hat_arizasi,1,train
video2_p063,video2,63,hat_arizasi,1,train
video2_p064,video2,64,hat_arizasi,1,train
video2_p065,video2,65,hat_arizasi,1,train
video2_p066,video2,66,hat_arizasi,1,train
video2_p067,video2,67,hat_arizasi,1,train
video2_p068,video2,68,hat_arizasi,1,train
video2_p069,video2,69,hat_arizasi,1,train
video2_p070,video2,70,normal,-1,train
video2_p071,video2,71,hat_arizasi,1,train
video2_p072,video2,72,normal,-1,train
video2_p073,video2,73,tekil_panel,17,test
video2_p074,video2,74,normal,-1,train
video2_p075,video2,75,normal,-1,val
video2_p076,video2,76,tekil_panel,18,train
video2_p077,video2,77,normal,-1,train
video2_p078,video2,78,normal,-1,train
video2_p079,video2,79,normal,-1,train
video2_p080,video2,80,normal,-1,train
video2_p081,video2,81,tekil_panel,19,train
video2_p082,video2,82,normal,-1,train
video2_p083,video2,83,normal,-1,val
video2_p084,video2,84,normal,-1,test
video2_p085,video2,85,normal,-1,test
video2_p086,video2,86,normal,-1,train
video2_p087,video2,87,normal,-1,train
video2_p088,video2,88,tekil_panel,20,train
video2_p089,video2,89,normal,-1,train
video2_p090,video2,90,normal,-1,train
video2_p091,video2,91,tekil_panel,21,train
video2_p092,video2,92,normal,-1,train
video2_p093,video2,93,normal,-1,train
video2_p094,video2,94,normal,-1,val
video2_p095,video2,95,normal,-1,train
video2_p096,video2,96,normal,-1,val
video2_p097,video2,97,normal,-1,val
video2_p098,video2,98,normal,-1,train
video2_p099,video2,99,normal,-1,test
video2_p100,video2,100,normal,-1,train
video2_p101,video2,101,hat_arizasi,7,train
video2_p102,video2,102,normal,-1,val
video2_p103,video2,103,tekil_panel,22,train
video2_p104,video2,104,normal,-1,train
video2_p105,video2,105,normal,-1,train
video2_p106,video2,106,normal,-1,train
video2_p107,video2,107,normal,-1,train
video2_p108,video2,108,normal,-1,test
video2_p109,video2,109,tekil_panel,23,train
video2_p110,video2,110,normal,-1,train
video2_p111,video2,111,hat_arizasi,7,train
video2_p112,video2,112,normal,-1,val
video2_p113,video2,113,normal,-1,train
video2_p114,video2,114,normal,-1,train
video2_p115,video2,115,normal,-1,train
video2_p116,video2,116,normal,-1,train
video2_p117,video2,117,string_arizasi,4,test
video2_p118,video2,118,normal,-1,train
video2_p119,video2,119,normal,-1,val
video2_p120,video2,120,hat_arizasi,8,train
video2_p121,video2,121,normal,-1,train
video2_p122,video2,122,normal,-1,test
video2_p123,video2,123,normal,-1,train
video2_p124,video2,124,normal,-1,train
video2_p125,video2,125,normal,-1,train
video2_p126,video2,126,normal,-1,val
video2_p127,video2,127,string_arizasi,4,test
video2_p128,video2,128,string_arizasi,4,test
video2_p129,video2,129,normal,-1,val
video2_p130,video2,130,hat_arizasi,8,train
video2_p131,video2,131,normal,-1,test
video2_p132,video2,132,normal,-1,train
video2_p133,video2,133,normal,-1,train
video2_p134,video2,134,tekil_panel,24,train
video2_p135,video2,135,normal,-1,train
video2_p136,video2,136,normal,-1,train
video2_p137,video2,137,normal,-1,train
video2_p138,video2,138,normal,-1,train
video2_p139,video2,139,normal,-1,train
video2_p140,video2,140,normal,-1,val
video2_p141,video2,141,normal,-1,train
video2_p142,video2,142,normal,-1,test
