panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,valp95_med,spread_med,label
72,140,410,1.0,0.9974,1.0,1.0,1.0,0.9503,255.0,0.533,
31,1178,275,0.9968,0.9645,0.9979,1.0,1.0,0.9089,255.0,0.518,
58,354,315,0.9811,0.9505,0.9849,1.0,1.0,0.8808,255.0,0.711,
81,91,305,0.9758,0.9362,0.9832,1.0,1.0,0.862,255.0,0.792,
8,798,560,0.9634,0.8095,0.9661,1.0,1.0,0.7881,255.0,0.446,
87,226,278,0.9542,0.8795,0.9727,1.0,1.0,0.8045,255.0,0.749,
33,1250,247,0.8992,0.7605,0.91,1.0,1.0,0.6911,246.0,0.478,
3,435,578,0.8637,0.671,0.8721,1.0,1.0,0.6646,255.0,0.497,
102,427,219,0.836,0.7907,0.8407,1.0,1.0,0.6895,255.0,0.64,
105,310,195,0.8064,0.7559,0.8114,1.0,1.0,0.6178,255.0,0.754,
6,638,503,0.7574,0.6539,0.7654,1.0,1.0,0.6761,254.0,0.475,
14,1144,450,0.7542,0.7132,0.7597,1.0,1.0,0.689,255.0,0.424,
109,568,206,0.7535,0.6984,0.7708,1.0,1.0,0.6119,255.0,0.541,
75,43,438,0.732,0.6314,0.7491,1.0,1.0,0.5924,254.0,0.419,
16,928,397,0.7181,0.4364,0.7379,0.818,1.0,0.4072,237.0,0.388,
9,924,604,0.6691,0.6068,0.6733,1.0,1.0,0.5938,255.0,0.355,
59,412,332,0.5961,0.5305,0.6128,1.0,1.0,0.4853,254.0,0.49,
34,1177,234,0.584,0.5093,0.5957,1.0,1.0,0.4627,252.3,0.392,
52,711,235,0.5771,0.431,0.5991,0.744,1.0,0.373,218.0,0.44,
67,231,384,0.5014,0.3018,0.5144,1.0,1.0,0.2674,251.0,0.292,
27,1028,297,0.4743,0.3873,0.4817,1.0,1.0,0.346,252.0,0.398,
47,932,195,0.3775,0.3365,0.4038,0.744,1.0,0.2781,209.0,0.365,
30,1102,263,0.3656,0.2754,0.374,0.884,1.0,0.2369,227.0,0.309,
