panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,spread_med,label,cluster_id,cluster_size
0,819,691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
1,630,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
2,536,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
3,435,578,0.8637,0.671,0.8721,1.0,1.0,0.6646,0.497,tekil_panel,6,1
4,342,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
5,540,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
6,638,503,0.7574,0.6539,0.7654,1.0,1.0,0.6761,0.475,tekil_panel,7,1
7,716,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
8,798,560,0.9634,0.8095,0.9661,1.0,1.0,0.7881,0.446,hat_arizasi,0,4
9,924,604,0.6691,0.6068,0.6733,1.0,1.0,0.5938,0.355,hat_arizasi,0,4
10,1048,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
11,901,473,0.0429,0.0339,0.0444,0.678,1.0,0.0295,0.084,hat_arizasi,0,4
12,778,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
13,681,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
14,1144,450,0.7542,0.7132,0.7597,1.0,1.0,0.689,0.424,tekil_panel,8,1
15,1029,422,0.0388,0.0042,0.0468,0.496,0.0,0.0,0.0,normal,-1,0
16,928,397,0.7181,0.4364,0.7379,0.818,1.0,0.4072,0.388,hat_arizasi,0,4
17,834,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
18,745,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
19,866,318,0.2975,0.2605,0.3017,1.0,1.0,0.2325,0.281,tekil_panel,9,1
20,946,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
21,1031,353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
22,1123,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
23,1231,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
24,1256,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
25,1196,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
26,1109,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
27,1028,297,0.4743,0.3873,0.4817,1.0,1.0,0.346,0.398,tekil_panel,10,1
28,955,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
29,1032,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
30,1102,263,0.3656,0.2754,0.374,0.884,1.0,0.2369,0.309,tekil_panel,11,1
31,1178,275,0.9968,0.9645,0.9979,1.0,1.0,0.9089,0.518,hat_arizasi,2,2
32,1253,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
33,1250,247,0.8992,0.7605,0.91,1.0,1.0,0.6911,0.478,tekil_panel,12,1
34,1177,234,0.584,0.5093,0.5957,1.0,1.0,0.4627,0.392,hat_arizasi,2,2
35,1107,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
36,1171,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
37,1242,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
38,1267,220,0.0952,0.0,0.131,0.289,0.0,0.0,0.0,normal,-1,0
39,1062,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
40,992,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
41,916,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
42,832,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
43,738,289,0.1617,0.1278,0.1673,0.744,1.0,0.1067,0.192,hat_arizasi,3,2
44,675,275,0.0,0.0,0.0096,0.025,0.0,0.0,0.0,normal,-1,0
45,768,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
46,855,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
47,932,195,0.3775,0.3365,0.4038,0.744,1.0,0.2781,0.365,tekil_panel,13,1
48,1005,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
49,951,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
50,878,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
51,799,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
52,711,235,0.5771,0.431,0.5991,0.744,1.0,0.373,0.44,hat_arizasi,3,2
53,615,263,0.2585,0.222,0.2847,0.959,1.0,0.1852,0.273,tekil_panel,14,1
54,664,332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
