panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,spread_med,label,cluster_id,cluster_size
0,819,691,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,normal,-1,0
1,630,675,0.0001,0.0,0.0006,0.0,0.0,0.0,0.0,normal,-1,0
2,536,626,0.4011,0.0,0.4102,0.2,0.0,0.0,0.0,tekil_panel,9,1
3,435,578,0.0034,0.0,0.008,0.025,0.0,0.0,0.0,normal,-1,0
4,342,536,0.438,0.0,0.5423,0.492,0.0,0.0,0.0,hat_arizasi,1,11
5,540,468,0.4828,0.1208,0.5251,0.517,1.0,0.1504,0.238,string_arizasi,0,13
6,638,503,0.0306,0.001,0.0445,0.4,0.0,0.0,0.0,string_arizasi,0,13
7,716,530,0.1854,0.0326,0.2351,0.542,0.0,0.0,0.0,string_arizasi,0,13
8,798,560,0.4727,0.0,0.4987,0.358,0.0,0.0,0.0,string_arizasi,0,13
9,924,604,0.42,0.0,0.4563,0.167,0.0,0.0,0.0,string_arizasi,0,13
10,1048,515,0.353,0.0,0.3785,0.158,0.0,0.0,0.0,string_arizasi,0,13
11,901,473,0.0391,0.0,0.0571,0.192,0.0,0.0,0.0,string_arizasi,0,13
12,778,438,0.0098,0.001,0.0283,0.2,0.0,0.0,0.0,normal,-1,0
13,681,410,0.0607,0.0,0.0773,0.425,0.0,0.0,0.0,string_arizasi,0,13
14,1144,450,0.4323,0.0,0.5374,0.133,0.0,0.0,0.0,string_arizasi,0,13
15,1029,422,0.542,0.0514,0.6394,0.592,1.0,0.0095,0.336,string_arizasi,0,13
16,928,397,0.0293,0.0,0.0417,0.167,0.0,0.0,0.0,string_arizasi,0,13
17,834,374,0.4986,0.0092,0.6045,0.5,0.5,0.0061,0.109,string_arizasi,2,4
18,745,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
19,866,318,0.5207,0.1882,0.5798,0.525,1.0,0.1816,0.271,string_arizasi,2,4
20,946,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
21,1031,353,0.021,0.0,0.032,0.142,0.0,0.0,0.0,string_arizasi,0,13
22,1123,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
23,1231,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
24,1256,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
25,1196,328,0.5443,0.0,0.5647,0.167,0.0,0.0,0.0,hat_arizasi,5,2
26,1109,311,0.5605,0.0,0.575,0.183,0.0,0.0,0.0,tekil_panel,10,1
27,1028,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
28,955,281,0.4476,0.3,0.4717,0.533,1.0,0.2939,0.326,tekil_panel,11,1
29,1032,251,0.5443,0.3393,0.5936,0.55,1.0,0.3113,0.33,tekil_panel,12,1
30,1102,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
31,1178,275,0.4384,0.0,0.4749,0.475,0.0,0.0,0.0,hat_arizasi,5,2
32,1253,291,0.3067,0.0,0.3525,0.15,0.0,0.0,0.0,string_arizasi,3,4
33,1250,247,0.653,0.0,0.7341,0.475,0.0,0.0,0.0,string_arizasi,3,4
34,1177,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
35,1107,223,0.485,0.3669,0.5426,0.675,1.0,0.3121,0.366,tekil_panel,13,1
36,1171,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
37,1242,205,0.5341,0.0,0.5487,0.2,0.0,0.0,0.0,string_arizasi,3,4
38,1267,220,0.469,0.0,0.6667,0.183,0.0,0.0,0.0,string_arizasi,3,4
39,1062,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
40,992,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
41,916,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
42,832,257,0.2969,0.0,0.3034,0.175,0.0,0.0,0.0,string_arizasi,2,4
43,738,289,0.4502,0.3771,0.4563,0.558,1.0,0.3503,0.336,hat_arizasi,6,2
44,675,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
45,768,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
46,855,219,0.6216,0.5595,0.6369,0.583,1.0,0.5125,0.42,string_arizasi,2,4
47,932,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
48,1005,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
